Отзыв;Тип отзыва
Спасибо вкусно почастотней век но списать р нспвись б.;спам
вивщв вдвжвд выоышызды вдвжыжябы влылчоста а аочляжяжжвб;спам
Ужасная шаурма, кислая, фуу, заказывали ещё по киевски с пюре, пюре тоже кислое, плов никакущий ни вкуса ни аромата один рис и морковь, единственное блюдо которое мы съели это паста с курицей видимо свеже сделанная, остальное в помойку. Не рекомендую данную столовку здоровье дороже!!!!;негативный
Верона - как стандарт качества. Вкусно, быстро. Сравнительно недорого.;позитивный
Плата даа а даа Садат чдатпд сжата;спам
Все очень хорошо! Спасибо большое;позитивный
не доложили оплаченный морс;негативный
Доставка была в термосумке. Красивые пироги это одно, но какие вкусные, ммм!!! Всем всё понравилось! Будем ещё заказывать! Спасибо большое Вам!;позитивный
ужасный сервис,к еде нет вопросов, не доложили роллы к заказу;негативный
норм короче вкусно норм ааттататьаталмьпьалтс;спам
впервые вижу, чтобы положили васаби и имбирь, но не положили соевый соус. Роллы с лососем как-будто там совсем немного лосося и в основном другая рыба. Радует, что темпера совсем не жирная;негативный
ну во первых одна пицца подгорела,а вторая вообще ужас колбаса заветринная была,вкус сыра был плохой,и третью пиццу которая за баллы вообще не положили,очень разочарована раньше была вкусная пицца а сейчас просто ужас;негативный
Роллы вкусные. Доставка долгая и все роллы помятые и холодные (обидно) Роллы за балы вообще не те положили(;негативный
ладыжыб адвббядя дчдчщчдвдцбв чолчлядыбыбы;спам
очень долго везут заказ за место 1 часа положеного везут уже 3 часа ужасная доставка;негативный
Привезли спустя два часа, вместо заявленного часа . Мы находимся в шаговой доступности, знали бы забрали бы сами. Не доложили наггетсы и привезли уже все остывшее . Разочарованы;негативный
вместо оладушек привезли пончики;негативный
Осла да а плата а в плату в вувлатьв читала та в в в ататата;спам
На долю оренбургских покупателей доставки в XXI веке выпало немало потрясений;негативный
привезли заказ с опозданием, так ещё и суши были в ужасном состоянии;негативный
Спааоаттслалаьпдсмдавьвв мак ь мы дата стоит;спам
Вместо два фри положили два деревенских картофеля !;негативный
Суши разваливаются, выглядели абсолютно не аппетитно , вкус оставил желать лучшего горчат, пришлось выкинуть;негативный
рыба была не свежей, после пары штук, отодвинули роллы в сторону, ну и крутящий живот у двоих сразу;негативный
доставка более 2 часов, еле тëплая пицца. Ладно бы вкусно. Раз попробовали- было г-но, спустя столько времени, попробовали снова, посмотрели на оценки, зря. Как не умели готовить, так и не научились. Зачëт- снова не зачëт. кака;негативный
В этот раз,всё дерьмо.И курьер ехал два часа.Пича горелая,а суши не свежие.В общем полное говно!!!;негативный
Вкусные очень сильно 💓мне безумно понравились роллы;позитивный
Слстчтчбювд оыловотьс овоаов;спам
Доставщик лучший! Еточгтснтсо ааетсно;спам
Все так вкусно, просто супер, пицца вообще бомба, только здесь заказываем, и теперь и роллы тоже тут будем заказывать. Большущая благодарность вам за такую вкусняшку☺️☺️☺️;позитивный
Ужасно маленькие, Рыба не свежая, За 1000₽ 2 порции маленьких ролл, Доставка бесплатная, А в итоге взяли всё равно;негативный
все отлично, но почему то не было оплаченного шашлыка свиная корейка. видимо не доехала....;негативный
Я не знаю что и как ты там делаешь и что мне делать с этим человеком я не хочу чтобы ты меня не любишь меня и не хочешь общаться с тобой я;спам
Не вернули сдачу 820 рублей !;негативный
Хуже ролл я не ела вот честно, вкус отвратительный, вы готовили их 2,5 часа нельзя было хоть элементарно приготовить как можно роллы испортить????? И вести их 2,5 часа а говорили до 2 привезут точно!!!! ;негативный
заказывал одно а пришло другое;негативный
Балсла ажаддада аддадада жажада;спам
Тон опта гнало оп-арт Олимп. Горит;спам
невкусные ,запечённых ролл за баллы не было,вместо них положили обычные;негативный
Только сдачу не вернули,а так всё прекрасно👌🏻;негативный
Все супер, любимая горячая свежая наивеуснейшая пицца, как всегда на высоте, спасибо👍❤;позитивный
Роллы вкусные, но доставка ужасная, роллы привезли все помятые да ещё холодные(;негативный
Пицца холодная была, запечённые суши тоже холодные;негативный
Заказ не приехал , ждали 3 часа , ресторан не выходит на связь;негативный
AMA BALLIN - Вхлам. Слушайте трек;спам
очень вкусно быстро норм чжиавдтсдаба;спам
Задержали доставку и перевезли пиццу чуть теплую !;негативный
начинки очень мало, в основном рис, роллы разваливаются;негативный
заказ приняли, а не доставили;негативный
очень вкусно, прямо супер еда. закажу снова.;негативный
Не доложили соус в заказ, рис в ролах получился как каша, слипшийся, лапша без вкусная;негативный
Its really goos the aushi is really good as well as orher dish also;спам
