Тип отзыва;Отзыв;Типы проблем
0;👍👍👍Супер разъ*б 👍👍👍👍👍;Спам
0;Лазила лаповое каша а прилип пиал;Спам
0;Ну что как у нас с вами получилось с этим работать и с этим работать я вам не могу дозвониться вы можете меня принять и отправить на такси я вам отправлю номер заказа который вам нужно отправить и номер заказа я отправлю на ваш телефон чтобы он был в пути до меня чтобы он мне отправил ваш адрес чтобы мы смогли;Спам
0;Ну что там как там дела как настроение у;Спам
0;Ну что там как там дела как настроение у вас что как у нас погода сегодня как у нас сегодня дождь будет а так я уже в школу иду в садик;Спам
0;Ради баллов напишу ерунду;Спам
0;Спора рраартааррааккавоо вправо а;Спам
0;чипи чипи чапа чапа руби руби Дава дава;Спам
1;Ну я я же же тебе тебе сказал сказал я я;Спам
0;Бип боп бип боп бип боп бип боп бип боп;Спам
0;Ну что что я я тебе тебе не не верю верю;Спам
0;Ну что что я я тебе тебе это это;Спам
0;примпрт типе нлмарлдбьопо;Спам
0;Сущик роллик барманденс ченс пенс;Спам
0;заебизя узе укозно  клклклклклклкллклклклкокок;Спам
0;ну что там как там дела как настроение у вас;Спам
0;фпфкупфф фукпфукп фукеп фуке фуке;Спам
0;Я не понимаю как можно так делать я не знаю как ты это;Спам
0;The The Big Lie was the most important thing in;Спам
0;Галеагап. Тдрдиб Тромъеган. Или тал;Спам
0;Ну что там как там дела как настроение у;Спам
0;ну что там как там дела как настроение у;Спам
